Scanning 2774 .FAN files in data/e1-dos/

File                                                Ver  NNS Internal Name                 
SCENES/OGER.FAN                                      24    - oger                          
SCENES/OLDMAN.FAN                                     8    - -                             
SCENES/ORNMENT.FAN                                   20    - -                             
SCENES/ORNMENT2.FAN                                  20    - -                             
SCENES/ORNMENT3.FAN                                  20    - -                             
SCENES/OUT.FAN                                       27    0 out                           
SCENES/PANNEAU.FAN                                    9    - -                             
SCENES/PENI1.FAN                                      8    - -                             
SCENES/PENI2.FAN                                      8    - -                             
SCENES/PENITENT.FAN                                  25    - penitent2                     
SCENES/PIC.FAN                                       24    - pic                           
SCENES/PIC10.FAN                                     24    - pic10                         
SCENES/PIC20.FAN                                     24    - pic20                         
SCENES/PIGGY1.FAN                                    24    - piggy1                        
SCENES/PILES.FAN                                     20    - -                             
SCENES/PILES3.FAN                                    10    - -                             
SCENES/PIPI.FAN                                      24    - pipi                          
SCENES/PIPI1.FAN                                     24    - pipi1                         
SCENES/PORTE.FAN                                     26    0 porte                         
SCENES/PORTE1.FAN                                    25    - porte1                        
SCENES/PORTE3.FAN                                    24    - porte3                        
SCENES/PORTE5.FAN                                    24    - porte5                        
SCENES/PORTE6.FAN                                    24    - porte6                        
SCENES/PORTEX5.FAN                                   24    - portex5                       
SCENES/PRIEST2.FAN                                   23    - priest2                       
SCENES/PRIEST3.FAN                                    8    - -                             
SCENES/PRIEST4.FAN                                   24    - priest4                       
SCENES/PRIEST5.FAN                                    8    - -                             
SCENES/PUB.FAN                                       27    0 pub                           
SCENES/PUB1.FAN                                      27    0 pub1                          
SCENES/PUBBB.FAN                                     25    - pubbb                         
SCENES/PUB_OPEN.FAN                                  24    - pub_open                      
SCENES/PUTPUTL.FAN                                   25    - putputl                       
SCENES/PUTPUT_R.FAN                                  25    - putput_r                      
SCENES/READ_L.FAN                                    22    - -                             
SCENES/READ_R.FAN                                    22    - -                             
SCENES/READ_RR.FAN                                   22    - -                             
SCENES/RELAX.FAN                                     24    - relax                         
SCENES/RELAX2.FAN                                    10    - -                             
SCENES/RELAX3.FAN                                    24    - relax3                        
SCENES/RELIC.FAN                                     23    - relic                         
SCENES/RELIC2.FAN                                    22    - -                             
SCENES/RELIEF.FAN                                    24    - relief                        
SCENES/RELIEF2.FAN                                    9    - -                             
SCENES/RELIEF3.FAN                                    9    - -                             
SCENES/RELIEF4.FAN                                    9    - -                             
SCENES/RELIF.FAN                                      9    - -                             
SCENES/ROOF1.FAN                                     19    - -                             
SCENES/ROPY.FAN                                      10    - -                             
SCENES/S2.FAN                                        25    - s2                            
SCENES/S3.FAN                                        25    - s3                            
SCENES/S4.FAN                                        27    0 s4                            
SCENES/SAR.FAN                                       25    - sar                           
SCENES/SARCO.FAN                                     19    - -                             
SCENES/SEW1.FAN                                       9    - -                             
SCENES/SHELVES.FAN                                    9    - -                             
SCENES/SHOP1.FAN                                     26    0 shop1                         
SCENES/SHOP2.FAN                                     26    0 shop2                         
SCENES/SHOP3.FAN                                     26    0 shop3                         
SCENES/SHOP4.FAN                                     19    - -                             
SCENES/SKELTON1.FAN                                  25    - skelton1                      
SCENES/SKINNY1.FAN                                    8    - -                             
SCENES/SKINNY2.FAN                                   24    - skinny2                       
SCENES/SOFA.FAN                                      20    - -                             
SCENES/SOR.FAN                                        8    - -                             
SCENES/SOR1.FAN                                      24    - sor1                          
SCENES/SOR2.FAN                                      22    - -                             
